state,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
VT,857,4347276,709,3896664,148,448056,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
WA,25715,135711388,23390,128549608,2325,7031808,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
WI,7115,36780395,6165,33881466,950,2872548,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
WV,4671,24037269,4007,22020182,664,2007936,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
WY,189,950935,154,843636,35,106596,AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029
AL,2491,12871090,2104,11564500,387,1171044,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
AK,663,3367444,549,3016388,114,344736,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
AR,2373,12149056,2009,11042380,364,1099980,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
AZ,4108,21492618,3556,19544692,552,1668240,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
CA,187725,1007115990,174128,957008862,13597,41117580,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
CO,1034,5127638,784,4307032,250,756756,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
CT,2719,14153816,2367,13009490,352,1063692,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
DC,2056,10285159,1637,8996952,419,1267056,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
DE,745,3870883,651,3575606,95,286776,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
FL,105020,554796546,95729,526124294,9291,28097244,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
GA,2516,12926156,2112,11605720,405,1223208,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
HI,3692,19060239,3184,17497432,508,1535940,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
IA,3084,15842890,2630,14452648,455,1374912,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
ID,566,2899939,477,2619760,89,269388,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
IL,5274,27170180,4455,24486512,819,2476404,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
IN,1830,9357238,1536,8442314,294,888804,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
KS,751,3934384,661,3631940,91,273672,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
KY,1138,5899966,986,5417682,152,460404,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
LA,9771,49690226,8135,44711334,1636,4947012,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
MA,33900,179392165,30984,170289438,2916,8817732,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
MD,17133,90513865,15609,85785232,1525,4610088,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
ME,304,1483355,222,1222402,82,246456,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
MI,27286,142034128,24053,132195746,3233,9777348,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
MN,10537,55954626,9730,53475622,807,2440620,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
MO,1728,9052735,1517,8339722,211,637812,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
MS,5735,29309290,4837,26585984,898,2715552,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
MT,830,4201428,683,3753310,147,443268,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
NY,129583,680181850,116532,640457582,13051,39466728,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
NC,7824,40746415,6884,37832632,940,2843316,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
ND,97,479518,75,409910,22,66528,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
NE,137,694639,111,608224,26,79380,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
NH,238,1200758,188,1032790,50,149940,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
NJ,18821,102073878,17246,94785848,1575,4761540,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
NM,590,3010253,482,2646782,108,326592,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
NV,6848,35766563,6069,33352934,780,2357208,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
OH,14924,77138312,12342,67829800,2583,7810236,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
OK,2604,13293681,2183,11998226,421,1274112,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
OR,8361,43467279,7338,40331480,1023,3092544,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
PA,27711,144610451,24554,134948784,3157,9545760,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
RI,1432,7402616,1239,6810460,193,583128,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
SC,2102,10833081,1793,9851580,309,934668,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
SD,1526,8081001,1401,7700354,125,377748,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
TN,8002,40909467,6743,37058154,1259,3806460,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
TX,57781,297959356,49706,273181428,8076,24420564,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
UT,235,1174401,182,1001646,53,160020,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
VA,6382,34148479,5822,32000002,560,1693188,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
VT,857,4347276,709,3896664,148,448056,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
WA,25715,135711388,23390,128549608,2325,7031808,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
WI,7115,36780395,6165,33881466,950,2872548,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
WV,4671,24037269,4007,22020182,664,2007936,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
WY,189,950935,154,843636,35,106596,CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994
AL,2491,12871090,2104,11564500,387,1171044,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
AK,663,3367444,549,3016388,114,344736,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
AR,2373,12149056,2009,11042380,364,1099980,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
AZ,4108,21492618,3556,19544692,552,1668240,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
CA,187725,1007115990,174128,957008862,13597,41117580,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
CO,1034,5127638,784,4307032,250,756756,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
CT,2719,14153816,2367,13009490,352,1063692,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
DC,2056,10285159,1637,8996952,419,1267056,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
DE,745,3870883,651,3575606,95,286776,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
FL,105020,554796546,95729,526124294,9291,28097244,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
GA,2516,12926156,2112,11605720,405,1223208,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
HI,3692,19060239,3184,17497432,508,1535940,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
IA,3084,15842890,2630,14452648,455,1374912,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
ID,566,2899939,477,2619760,89,269388,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
IL,5274,27170180,4455,24486512,819,2476404,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
IN,1830,9357238,1536,8442314,294,888804,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
KS,751,3934384,661,3631940,91,273672,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
KY,1138,5899966,986,5417682,152,460404,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
LA,9771,49690226,8135,44711334,1636,4947012,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
MA,33900,179392165,30984,170289438,2916,8817732,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
MD,17133,90513865,15609,85785232,1525,4610088,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
ME,304,1483355,222,1222402,82,246456,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
MI,27286,142034128,24053,132195746,3233,9777348,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
MN,10537,55954626,9730,53475622,807,2440620,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
MO,1728,9052735,1517,8339722,211,637812,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
MS,5735,29309290,4837,26585984,898,2715552,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
MT,830,4201428,683,3753310,147,443268,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
NY,129583,680181850,116532,640457582,13051,39466728,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
NC,7824,40746415,6884,37832632,940,2843316,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
ND,97,479518,75,409910,22,66528,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
NE,137,694639,111,608224,26,79380,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
NH,238,1200758,188,1032790,50,149940,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
NJ,18821,102073878,17246,94785848,1575,4761540,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
NM,590,3010253,482,2646782,108,326592,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
NV,6848,35766563,6069,33352934,780,2357208,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
OH,14924,77138312,12342,67829800,2583,7810236,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
OK,2604,13293681,2183,11998226,421,1274112,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
OR,8361,43467279,7338,40331480,1023,3092544,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
PA,27711,144610451,24554,134948784,3157,9545760,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
RI,1432,7402616,1239,6810460,193,583128,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
SC,2102,10833081,1793,9851580,309,934668,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
SD,1526,8081001,1401,7700354,125,377748,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
TN,8002,40909467,6743,37058154,1259,3806460,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
TX,57781,297959356,49706,273181428,8076,24420564,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
UT,235,1174401,182,1001646,53,160020,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
VA,6382,34148479,5822,32000002,560,1693188,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
VT,857,4347276,709,3896664,148,448056,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
WA,25715,135711388,23390,128549608,2325,7031808,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
WI,7115,36780395,6165,33881466,950,2872548,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
WV,4671,24037269,4007,22020182,664,2007936,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
WY,189,950935,154,843636,35,106596,CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462
AL,2491,12871090,2104,11564500,387,1171044,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
AK,663,3367444,549,3016388,114,344736,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
AR,2373,12149056,2009,11042380,364,1099980,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
AZ,4108,21492618,3556,19544692,552,1668240,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
CA,187725,1007115990,174128,957008862,13597,41117580,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
CO,1034,5127638,784,4307032,250,756756,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
CT,2719,14153816,2367,13009490,352,1063692,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
DC,2056,10285159,1637,8996952,419,1267056,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
DE,745,3870883,651,3575606,95,286776,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
FL,105020,554796546,95729,526124294,9291,28097244,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
GA,2516,12926156,2112,11605720,405,1223208,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
HI,3692,19060239,3184,17497432,508,1535940,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
IA,3084,15842890,2630,14452648,455,1374912,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
ID,566,2899939,477,2619760,89,269388,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
IL,5274,27170180,4455,24486512,819,2476404,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
IN,1830,9357238,1536,8442314,294,888804,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
KS,751,3934384,661,3631940,91,273672,CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622
